,totalid
"-100814,6661857",3.0
"-126000,7589000",1.0
"-159684,7539752",3.0
"-209858,7392610",1.0
"-2960000,15550000",1.0
"-50502,8231555",1.0
"-532545,8154364",1.0
"-56149,7484286",1.0
"-9724,7535760",1.0
"0,0",495118.0
"107817,6844517",1.0
"110105,9389039",1.0
"111433,7523421",1.0
"1205647,8557236",3.0
"1219374,9586471",1.0
"127964,7723075",1.0
"1305264,8783362",1.0
"136686,7018830",1.0
"136760,7629090",1.0
"138616,7680211",1.0
"146967,7465070",2.0
"150211,6943010",1.0
"1621288,9095919",4.0
"184340,7260759",1.0
"186625,8253811",1.0
"188501,7387993",1.0
"195311,7356503",1.0
"197884,7428726",1.0
"201847,7562423",5.0
"208172,7414448",1.0
"208597,7656076",1.0
"226869,7422564",2.0
"228527,7484820",5.0
"229444,7575497",1.0
"232781,7471875",1.0
"236767,7519869",1.0
"249299,7398841",15.0
"249691,7727278",1.0
"249901,7566157",2.0
"252697,7481871",2.0
"26089,7442971",1.0
"261163,7483705",4.0
"265423,7425976",3.0
"267331,7474605",5.0
"272336,7470785",1.0
"272845,7445036",1.0
"273536,7382302",2.0
"277103,7394877",1.0
"278969,7481777",3.0
"280581,7349643",2.0
"281337,7346363",9.0
"281632,7346102",10.0
"281678,7345889",6.0
"281725,7346553",4.0
"281747,7345652",3.0
"281799,7345732",4.0
"281810,7345593",8.0
"281834,7345926",2.0
"281841,7345660",6.0
"281842,7345852",1.0
"281862,7346175",7.0
"281906,7345744",6.0
"281947,7346180",4.0
"281996,7346370",1.0
"282063,7396798",18.0
"282120,7348128",4.0
"283157,7348560",4.0
"283223,7347610",4.0
"284014,7348073",10.0
"284732,7349080",8.0
"284818,7352459",10.0
"285926,7350552",2.0
"286114,7350705",1.0
"286537,7350760",2.0
"286779,7350806",8.0
"286786,7350809",8.0
"286790,7348783",7.0
"287045,7353117",14.0
"287069,7353162",9.0
"287237,7346947",2.0
"287866,7380963",2.0
"287922,7380869",4.0
"287959,7348466",8.0
"288059,7381049",3.0
"288062,7380894",4.0
"288165,7351039",7.0
"288180,7381051",1.0
"288198,7381165",4.0
"288203,7381002",4.0
"288205,7351053",2.0
"288210,7381008",2.0
"288225,7381150",4.0
"288269,7381218",1.0
"288322,7352572",8.0
"288352,7381380",6.0
"288418,7381408",3.0
"288441,7381539",6.0
"288473,7381101",2.0
"288520,7352971",1.0
"288532,7381821",5.0
"288544,7353211",12.0
"288546,7353126",3.0
"288632,7352518",3.0
"288639,7352846",5.0
"288650,7352309",6.0
"288827,7352751",4.0
"288843,7352575",3.0
"288982,7381437",1.0
"289056,7465674",41.0
"289089,7352417",8.0
"289126,7351835",1.0
"289138,7351758",11.0
"289193,7352005",7.0
"289219,7351997",14.0
"289248,7351694",2.0
"289253,7351645",1.0
"289253,7351648",1.0
"289254,7351649",1.0
"289272,7351992",2.0
"289278,7351907",2.0
"289284,7351024",1.0
"289284,7351926",1.0
"289301,7351790",4.0
"289318,7352074",2.0
"289321,7351881",1.0
"289321,7352266",1.0
"289322,7351141",8.0
"289329,7351907",5.0
"289342,7351053",8.0
"289357,7352190",5.0
"289360,7351638",1.0
"289361,7351637",1.0
"289361,7351639",1.0
"289372,7351732",4.0
"289380,7352213",4.0
"289394,7351219",2.0
"289404,7350944",7.0
"289414,7351780",4.0
"289426,7351847",2.0
"289433,7351844",2.0
"289465,7351622",1.0
"289482,7351873",1.0
"289511,7351795",1.0
"289575,7351756",1.0
"289588,7351929",5.0
"289601,7351917",3.0
"289612,7351466",2.0
"289623,7351968",2.0
"289630,7438155",5.0
"289641,7351652",2.0
"289647,7351653",2.0
"289675,7351850",1.0
"289686,7348837",6.0
"289711,7351368",2.0
"289724,7351299",2.0
"289734,7348953",1.0
"289754,7351364",2.0
"289760,7352566",9.0
"289778,7348960",3.0
"289804,7352682",4.0
"289816,7350932",3.0
"289847,7351314",2.0
"289856,7406623",10.0
"289905,7352569",1.0
"289974,7383565",4.0
"290002,7382375",3.0
"290028,7380787",2.0
"290276,7350913",2.0
"290368,7350714",2.0
"290369,7350712",2.0
"290396,7346995",1.0
"290454,7352138",10.0
"290634,7384342",4.0
"290644,7350569",7.0
"290798,7352196",5.0
"290926,7386064",2.0
"290943,7382897",1.0
"290970,7385944",1.0
"290993,7381657",2.0
"291024,7352567",2.0
"291086,7382006",12.0
"291291,7350396",2.0
"291315,7350824",1.0
"291541,7350771",10.0
"291556,7387070",2.0
"291557,7376361",4.0
"291579,7349961",6.0
"291586,7386884",3.0
"291597,7348744",8.0
"291645,7377659",2.0
"291647,7354438",5.0
"291661,7378183",2.0
"291679,7378185",2.0
"291764,7380999",2.0
"291844,7386988",2.0
"291889,7380906",2.0
"291937,7380508",2.0
"291945,7380492",2.0
"292037,7377752",5.0
"292166,7381370",15.0
"292473,7354141",5.0
"292481,7383749",13.0
"292506,7389086",7.0
"292524,7351068",3.0
"292590,7379845",6.0
"292627,7387926",2.0
"292683,7386599",1.0
"292784,7387882",2.0
"292790,7386645",5.0
"292835,7387878",2.0
"292842,7378912",1.0
"292858,7379718",9.0
"292894,7386631",18.0
"292896,7387795",12.0
"292904,7382347",8.0
"292945,7387741",4.0
"292955,7387574",7.0
"292979,7380526",8.0
"292982,7387758",6.0
"292986,7389515",4.0
"293015,7379850",4.0
"293020,7382233",1.0
"293096,7379648",3.0
"293115,7387940",1.0
"293119,7379630",5.0
"293122,7387750",1.0
"293175,7376949",1.0
"293208,7387108",2.0
"293228,7388177",1.0
"293236,7378422",4.0
"293248,7377486",2.0
"293301,7387265",11.0
"293328,7377584",3.0
"293333,7388930",2.0
"293339,7379457",4.0
"293413,7381563",13.0
"293465,7380375",5.0
"293498,7378552",2.0
"293502,7351516",1.0
"293512,7388176",3.0
"293545,7388591",2.0
"293557,7386722",3.0
"293586,7382126",12.0
"293621,7388499",6.0
"293657,7380451",7.0
"293660,7388626",2.0
"293675,7379211",4.0
"293675,7388133",1.0
"293681,7389033",6.0
"293686,7381740",9.0
"293695,7388144",2.0
"293698,7379078",4.0
"293710,7387967",2.0
"293719,7379317",4.0
"293729,7378582",9.0
"293745,7379006",1.0
"293772,7379091",2.0
"293790,7373419",2.0
"293818,7381064",6.0
"293820,7378977",10.0
"293831,7379120",2.0
"293849,7380006",1.0
"293889,7351342",16.0
"293889,7378878",2.0
"293890,7379881",6.0
"293896,7387688",2.0
"293901,7378862",4.0
"293907,7378811",1.0
